凌寒	Ling Han
玄雨台	Black Rain Arena
原族爷	Elder Yuan
千赵原	Qianzhao Yuan
战舰	battle ship
天生雷体	Natural Lightning Physique
空灵仙胎	Ethereal Divine Fetus
洛长风	Luo Changfeng
紫河冰云	Zihe Bingyun
紫河家	Zihe Clan
藤森	Teng Sen
戚家	Qi Clan
傅东雪	Fu Dongxue
秘府	secret palace
韩落	Han Luo
一秘	first secret
二秘	second secret
三秘	third secret
四秘	fourth secret
五秘	fifth secret
女骑士	female knight
大教	sect
傅神兵	Fu Shenbing
雷云殿	Thundercloud Palace
血鸦族	Blood Crow Tribe
长风圣子	Holy Son Changfeng
雷神衍	Thunder God Overflow
混元石仙胎	Chaos Element Rock Divine Fetus
空灵战矛	Ethereal Battle Spear
千赵阳	Qianzhao Yang
升龙殿	Ascending Dragon Palace
无尽海域	boundless seas
火之本源	origin flames
大白兔	large white rabbit
放逐	Banish
空间规则	Regulations of Space
白魔树	White Demon Tree
魔化树心	Demonized Tree Heart
杀戮规则	Regulation of Slaughter
纸人	paper human
南宫停	Nangong Ting
半步	Pseudo
五斩	fifth severance
三重	Third Heaven
四重	Fourth Heaven
五重	Fifth Heaven
六重	Sixth Heaven
七重	Seventh Heaven
八重	Eighth Heaven
天尊	Heavenly Venerate	someone at the Heavenly Venerable Tier
灵妙	Ling Miao
偷袭	sneak attack
赤龙甲	Blood Dragon Armor
千赵家	Qianzhao Clan
万剑诀	Myriad Sword Technique
天道源石	Heavenly Dao Source Rock
天道玉	Heavenly Dao Jade
紫云家	Ziyun Clan
皇者	emperor tier
筑基玉	Foundation Jade
补缺玉	Remedy Jade
咕噜噜族	Gururu Tribe
谭卫	Tan Wei
山宝	Mountain Treasure
神圣武器	Sacred Weapon
矮人	dwarves
洞灵宝玉	Cave Spirit Treasured Jade
先天桃符	Natural Peach Seal
帝者	Monarch tier
何少鳞	He Shaolin
少鳞	Shaolin
韦年	Wei Nian
天火仙王	Heavenly Fire Celestial King
雷云仙王	Thundercloud Celestial King
紫河仙王	Purple River Celestial King
黑暗之潮	storm of darkness
火系大道	Great Dao of Fire
千赵羽	Qianzhao Yu
傅晏	Fu Yan
战舰	battleship
大人	Lord
赵凌峰	Zhao Lingfeng
紫河极	Zihe Ji
孙震	Sun Zhen
天云	Tianyun
太上长老	grand elder
管统领	Commander Guan
狐妖	Fox Demon
柳凌风	Liu Lingfeng
内丹	inner core
鲁先明	Lu Xianming
陈四	Chen Si
丹道城	Alchemy City
掌座	Chairperson
老货	old b@stard
黑煞咒	Black Murderous Curse
血影魔	Blood Shadow Demon
血影老魔	Old Demon Blood Shadow
时光修炼室	Time Cultivation Chamber
万古千秋	For All Eternity
修炼室	cultivation chamber
诸谨	Zhu Jin
喻少	Young Master Yu
刘喻	Liu Yu
苍宙城	Blue Eternity City
一星丹师	One Star Alchemist
孙东	Sun Dong
孙家	Sun Clan
小王者	Little King Tier
东少	Young Master Dong
固道丹	Dao Regulating Pill
永昌仙王	Eternal Prosperity Celestial King
永昌教	Eternal Prosperity Sect
永昌殿	Eternal Prosperity Palace
严仙路	Yan Xianlu
赵青锋	Zhao Qingfeng
紫城大师	Grandmaster Zi Cheng
保成	Bao Cheng
青锋无敌	Invincible Qingfeng
仙路	Celestial Path
锐金仙胎	Acute Metal Divine Fetus
紫城	Zi Cheng
四大天王	Four Heavenly Kings
程封云	Cheng Fengyun
程少	Young Master Cheng
山田久	Shantian Jiu
山田武	Shantian Wu
青鼎教	Black Cauldron Sect
山田家	Shantian Clan
易天河	Yi Tianhe
赤虹门	Crimson Rainbow Sect
殊	Shu
张泉	Zhang Quan
何岳	He Yue
杨碧月	Yang Biyue
鲁少	Young Master Lu
煞影	Murderous Shadow
鲁家	Lu Clan
丹童	alchemy apprentice
莫丹童	Alchemy Apprentice Mo
区侃	Ou Kan
秦古玉	Qin Guyu
丹师殿	Alchemist Pavilion
初阶学徒	beginner trainee
紫城丹师	Alchemist Zi Cheng
三星丹师	Three Star Alchemist
小莫	Little Mo
四星丹师	Four-Star Alchemist
炼灵	Spirit Refinement
一炼	First Refinement
二炼	Second Refinement
三炼	Third Refinement
四炼	Fourth Refinement
七炼	Seventh Refinement
五星丹师	Five-Star Alchemist
天心	Heavenly Heart
天心丹师	Alchemist Heavenly Heart
初叶	Chu Ye
初叶大师	Alchemist Chu Ye
五星势力	five-star force
天意铡刀	Heaven's Will Guillotine
心魔	internal demon
炼灵术	Spirit Refinement Technique
六炼	Sixth Refinement
九炼	Ninth Refinement
灵婴	Spirit Infant
二星丹师	Two-Star Alchemist
初叶丹师	Alchemist Chu Ye
石磊	Shi Lei
石玉	Shi Yu
青铜仙胎	Copper Divine Fetus
路进	Lu Jin
青云丹	Azure Cloud Pill
紫月镇魂丹	Purple Moon Spirit Suppression Pill
极品	Peak Grade
上品	High Grade
中品	Medium Grade
下品	Low Grade
高级学徒	HIgh Level Apprentice
焦邦	Jiao Bang
传音石	Sound Transmission Stone
中阶学徒	middle grade trainee
青虹丹	Green Rainbow Pill
高阶学徒	high grade trainee
霸妖	Ba Yao
问天	Wen Tian
断云山	Broken Clouds Mountain
天骄聚会	Gathering of Prodigies
清阳殿	Qingyang Pavilion
地缺晶华	Scarce Earth Essence
三阳峰	Three Yang Peak
祝雪歌	Zhu Xuege
柳飞章	Liu Feizhang
东门宏	Dongmen Hong
源蛇	Source Snake
劳松	Lao Song
山季同	Shan Jitong
源祖	Ancestral Source
祖凰	Ancestor Phoenix
七剑魔王	Seven Swords Demon King
白阳教	White Sun Sect
商达	Shang Da
剑妖族	Sword Demon Race
易无伤	Yi Wushang
古飞	Gu Fei
张云	Zhang Yun
永昌王	Eternal Prosperity King
仙道体	Celestial Dao Physique
张亚	Zhang Ya
吕海蓉	Lu Hairong
倚云仙子	Fairy Yiyun
永昌大人	Lord Eternal Prosperity
倚云仙王	Leaning Clouds Celestial King
杨弘义	Yang Hongyi
天骄	prodigy
皇甫灵	Huangfu Ling
吴存	Wu Cun
邵俊人	Shao Junren
时光流逝	Time Lapse
蛇息	Serpent Breath
王级	King Tier
源兽	Source Beast
仙王成道石	Celestial King Achieving Dao stone
祖鹏	Ancestor Roc
广隆天	Wide Prosperity Heaven
石修文	Shi Xiuwen
泰安天	Calm Peace Heaven
远南天	Far West Heaven
烈焰雷击木	Fiery Flame Lightning Strike Wood
血影虫	Blood Shadow Insects
三花谷	Three Blooms Valley
彭化年	Peng Huanian
诸丰	Zhu Feng
五炼	Fifth Refinement
四师叔	Fourth Uncle
丰源丹	Abundant Origin Pills
关化城	Guanhua City
流梭	water shuttle
普云仙王	Universal Clouds Celestial King
普云教	Universal Clouds Sect
晏伟	Yan Wei
莫霜	Mo Shuang
杨嘉	Yang Jia
地灵天泉	Earth Spirit Heavenly Spring Water
固魂丹	Soul Strengthening Pill
柳杰	Liu Jie
桂德水	Gui Deshui
诸子军	Zhu Zijun
诸少	Young Master Zhu
诸少军	Zhu Zijun	Author made a typo
冉飞	Ran fei
石永	Shi Yong
徒孙	grand-disciple
莫家	Mo Clan
莫老七	Brother Mo
卢浩名	Lu Haoming
杜绣云	Du Xiuyun
啄天功	Heaven Peck Technique
天惊	Breakthrough
诸丰大师	Grandmaster Zhu Feng
青胎丹	Azure Origin Pill
品鉴	appraise
诸家	Zhu Clan
补尘丹	Mundane Repairing Pill
柳家	Liu Clan
柳含	Liu Han
碧云丹	Jade Cloud Pill
马庸	Ma Yong
陈董	Chen Dong
凌哥	Brother Ling
玄冰教	Mysterious Ice Sect
黑炎教	Black Flames Sect
舒雅蓉	Shu Yarong
刘星	Liu Xing
萧力行	Xiao Lixing
释云天	Dispelling Cloud Heaven
四象化骨丹	Four Forms Bone Transformation Pill
四星大师	Four-Star Grandmaster
张宁	Zhang Ning
黄金巨人族	Golden Giant Race
费云	Fei Yun
死亡之镰	Death Scythe
唐明龙	Tang Minglong
纪无名	Ji Wuming
舒仙子	Fairy Shu
异	Yi
小诸天阿弥弓	Minor Heavens Complete Bow
世界树	World Tree
剑猪	Blade Hog
仙王血石	Celestial King Bloodstone
斑红青竹	Red Spotted Green Bamboo
叶林峰	Ye Linfeng
大道真解	true meaning of the great dao
灭天九剑	Heaven Destroying Nine Swords
夺天造化功	Heaven Seizing Fortune Technique
仙鹤	Celestial Crane
念力	power of belief
马路刚	Ma Lugang
肖天雄	Xiao Tianxiong
祖树	Ancestral Tree
剑法	sword technique
阳魂海	Yang Soul Ocean
生生丹	Lives Pill
马童光	Ma Tongguang
三生丹	Three Lives Pill
三都天	Three Capitals Heaven
星龙郡	Star Dragon Capital
狂人	Madman
路恒	Lu Heng
素还香	Su Huanxiang
施斌	Shi Bin
罗生原	Luo Shengyuan
明火仙王	Bright Flame Celestial King
业火	karmic flames
双瞳灭世	Twin Eyes World Destruction
魂胎	Soul Fetus
阳魂石	Yang Soul Stone
史都	Shi Du
九天火分魂	Nine Heavens Flame divided soul
墨毒王	Ink Poison King
四海宫	Four Seas Palace
商芷薇	Shang Zhiwei
七云王	Seven Clouds King
海天王	Sea Heavenly King
冥蛟	Dark Dragon
海王类	Sea King Class
秦家	Qin Clan
秦伟	Qin Wei
登途岛	Ascent Route Island
萧俊	Xiao Jun
罗河	Luo He
兰若芷	Lan Ruozhi
丰当	Feng Dang
仙灵	Deity
罡元绿金	Firm Essence Green Gold
兽潮	beast tide
兰天宇	Lan Tianyu
岛主	Island Master
九莲	Ninth Lotus
分魂	divided soul
车兄	Brother Che
兰兄	Brother Lan
兰天扬	Lan Tianyang
车元华	Che Yuanhua
教主	Sect Master
十莲境	Tenth Lotus
仙骨	Celestial Bone
五行	Five Elements
九重仙王	Ninth Heaven Celestial King
金之规则	Regulations of Metal
星月宗	Star Moon Sect
付岳	Fu Yue
郭铭	Guo Ming
付家	Fu Clan
柳雪妍	Liu Xueyan
不死丹	Undying Pill
七花七毒掌	Seven Blooms Seven Poisons Palmstrike
阮东相	Ruan Dongxiang
统连城	United Link City
八莲	Eighth Lotus
七莲	Seventh Lotus
摘月仙王	Moon Plucking Celestial King
都云仙王	Refined Cloud Celestial King
天域	Heavenly Realm
普安天	Universal Peace Heaven
灵草	Spiritual Herbs
付少	Young Master Fu
余伯	Uncle Yu
付博	Fu Bo
百龙城	Hundred Dragons City
百龙争霸战	Hundred Dragons Tournament Battles
古丹塔	Ancient Alchemy Tower
穿地船	Ground Piercing Shuttle
龙步天	Long Butian
都少俊	Du Shaojun
百龙秘境	Hundred Dragons Mystery Realm
至尊天道	Most Venerable Divine Path
天清月	Tian Qingyue
夏候通	Xia Houtong
余华青	Yu Huaqing
祝慧芸	Zhu Huiyun
本源大碰撞	Great Clash of Source Powers
龙桥	dragon bridge
大东仙王	Great Eastern Celestial King
蒲牢	Pu Lao
都牢天	Firm City Heaven
龙息	Dragon's Breath
大道之花	Bloom of Dao
断情剑	Severed Passion Sword
九字真言	Nine Figures of Truth
龙晶	Dragon Crystal
神龙山	Divine Dragon Mountain
五重仙王	Fifth Heaven Celestial King
八重仙王	Eighth Heaven Celestial King
天龙骨粉	Heavenly Dragon Bone Ashes
青龙镇	Azure Dragon Town
纳虚	Na Xu
纳空	Na Kong
龙珠	Dragon Pearl
波罗	Bo Luo
司空浩	Sikong Hao
部族	tribe
神庙	Divine Temple
青铜部族	Bronze Tribe
日扬丹师	Alchemist Riyang
药道石	Stone of Herbology
吴子虚	Wu Zixu
纳虚老和尚	Old Monk Na Xu
断龙石	Dragon Severing Stone
黑色人形	black figures
学徒	apprentice
林永昌	Lin Yongchang
元同光	Yuan Tongguang
谢乐章	Xie Yuezhang
千亿	hundred billion
龟茯苓	Tortoise Tuckahoe
勾陈	Gouchen
阿弥弓	Minor Heavens Complete Bow
玄龟厚土丹	Black Tortoise Earth Pill
虚澜	Xu Lan
宝净瓶	Treasured Tranquility Vial
时光规则	Regulations of Time
时间规则	Regulations of Time
九灯古佛	Nine Lights Ancient Buddha
佛门	Buddhist Sect
马苋	Ma Xian
范逸	Fan Yi
林承龙	Lin Chenglong
余文心	Yu Wenxin
陀罗教	Dhara Sect
阴魂谷	Yin Soul Valley
费强	Fei Qiang
艾玉	Ai Yu
石横	Shi Heng
云浪谷	Cloudy Waves Valle
金乌教	Golden Crow Sect
百龙灌体	Blessing of the Hundred Dragons
潘洛灵	Pan Luoling
黑马	dark horse
全风仙王	Full Winds Celestial King
青狼仙王	Green Wolf Celestial King
元方仙王	Yuanfang Celestial King
黑幕森林	Dark Forest
阴魂玉	Yin Soul Jade
玉潭	Jade Pool
麻云菇	Numbing Clouds Mushroom
杨晓	Yang Xiao
暴熊帮	Vicious Bear Gang
兵少	Young Master Bing
熊四	Xiong Si
君哥	Brother Jun
毒胎	Poisonous Fetus
死幽绝灭	Silent Death and Extermination
陈霜霜	Chen Shuangshuang
小程	Xiao Cheng
杨少	Young Master Yang
修炼体系	cultivation system
暴熊镇	Vicious Bear Village
黑龙王	Black Dragon King
黑龙仙王	Black Dragon Celestial King
鲲鹏天	Roc Heaven
古战场	ancient battlefield
黑暗势力	force of darkness
黑暗之力	power of darkness
玄阴母水分魂	Xuanyin Source Water Divided Soul
仙钟	Celestial Bell
青铜	bronze
永恒仙王	Eternal Celestial King
岁月钟	Bell of Time
传送门	Transference Portal
老骨魔	Old Bone Demon
霸下	Bixi
墨符	Mo Fu
大云城	Great Clouds City
孔家	Kong Clan
青柳城	Green WIllows City
虚灵琉璃	Spiritual Void Glass
孔长今	Kong Zhangjin
柳化山	Liu Huashan
盂兰风华	Yulan Fenghua
柳萧山	Liu Xiaoshan
骨魔仙王	Bone Demon Celestial King
仙王骨	Celestial King Bone
火焰本源	Source Power of Flames
空间本源	Source Power of Space
紫焰心灵火	Purple Spirit Flames
玄武混元土	Black Tortoise Chaos Origin Soil
十八莲	Eighteenth Lotus
天阳玄金	Heavenly Sun Black Gold
杀戮本源	Source Power of Slaughter
天柱	Heavenly Pillar
空间大切割	Great Spatial Cut
万华天	Ten Thousand Splendors Heaven
箭绝	Ultimate Shot
虚灵空间	Void Space
龙月惜	Long Yuexi
缘生	Yuan Sheng
倚云	Yi Yun
缘生天尊	Karmic Life Heavenly Venerable
松露晶石	Truffle Crystal
地魂山	Earth Soul Mountain
天魂池	Heaven Soul Pool
扶云长老	Elder Fuyun
三河长老	Elder Sanhe
大日天王镜	Great Sun Heavenly King Mirror
大日天王境	Great Sun Heavenly King Mirror
镜像空间	Mirror Space
镜像分身	Mirror Doppelgangers
吴恒	Wu Heng
灵岳仙王	Spiritual Mountain Celestial King
四海城	Four Seas City
安然	An Ran
林宣	Lin Xuan
陈管事	Manager Chen
付河	Fu He
广化天	Wide Change Heaven
上古	Ancient Age
上古	Ancient Age	Referring to ten epochs
远古	Primitive Age	Referring to a hundred epochs
大云仙王	Great Clouds Celestial King
失落之地	Lost Land
八部真灵兽	Eight Truths Spiritual Beast
别子文	Bie Ziwen
艾凯风	Ai Kaifeng
太易解毒丹	Highest Change Antidote Pill
钟棋	Zhong Qi
劳良	Lao Liang
狄桐欣	Di Tongxin
余开诚	Yu Kaicheng
血虫	Blood Insect
里	0.5 km	Chinese mile, in metric terms
程奕峰	Cheng Yifeng
凌月言	Ling Yueyan
凌家	Ling Clan
凌东行	Ling Dongxing
井家	Jing Clan
龙宇殿	Dragon Universe Palace
桃花源	Peach Blossom Origins
隋元良	Sui Yuanliang
赵镇	Zhao Zhen
唐涛	Tang Tao
心柳庄园	Heart Willow Estate
闻人	Wenren Clan
闻人悦	Wenren Yue
闻人创	Wenren Chuang
闻人堂	Wenren Tang
外门弟子	external disciple
核心弟子	core disciple
月冷轻阳剑	Cold Moon Light Sun Sword
真传弟子	true disciple
岳红裳	Yue Hongchang
程之龙	Cheng Zilong
雷系规则	Regulations of Lightning
拳法	fist technique
怒拳	Fists of Fury
诸旋儿	Zhu Xuan'er
闻人月	Wenren Yue
见雪	Jianxue
九华	Jiuhua
大逆仙王	Great Reversing Celestial King
大逆阴阳剑	Great Reversing Yin and Yang Sword
红樱镇	Red Blossom Village
王良春	Wang Liangchun
王师兄	Senior Brother Wang
屠三小姐	Lady Tu San
屠红英	Tu Hongying
德少	Young Master De
段大人	Lord Duan
内门弟子	internal disciple
叶建德	Ye Jiande
鸣天石	Heaven Ringing Stone
段海鸣	Duan Haiming
宫主	Palace Leader
天圣仙王	Heavenly Saint Celestial King
莫卓	Mo Zhuo
九重天仙王	Ninth Heaven Celestial King
云宝殿	Cloud Treasure Hall
八重天仙王	Eighth Heaven Celestial King
七重天仙王	Seventh Heaven Celestial Kings
天意长老	Heavenly Will Elder
欺天术	Heaven Deceiving Technique
程无崖	Cheng Wuya
井可兵	Jing Kebing
井东	Jing Dong
程荣	Cheng Rong
龙门山	Dragon's Gate Mountain
万亿	trillion
叶无海	Ye Wuhai
阴河天	Yin River Heaven
战龙殿	Battle Dragon Palace
富周	Fu Zhou
程子心	Cheng Zixin
郝新觉	He Xinjue
盟主	Alliance Leader
大威大德经	Mighty Benevolent Scroll
大威教	Great Majestic Sect
湛飞	Zhan Fei
冯兴仁	Feng Xingren
化龙诀	Dragon Transformation Technique
龙气	Dragon Qi
灭仙枪	Celestial Killer Spear
万世一指	Eternity Tap
六道	Six Samsara Realms
佛王	Buddha King
佛王	Buddha King
佛子	Buddha Son
释禅子	Shi Chanzi
佛心	Buddha Heart
天罗地网	Inescapable Net
圣源学院	Saintly Origin Academy
余青焰仙王	Residual Green Flames Celestial King
双马天	Twin Horses Heavenly Realm
丽水城	Lishui City
洪荒	Hong Huang
迦兰	Jia Lan
雨皇阁	Rain Imperial Pavilion
韩林阁	Han Lin Pavilion
柳俊	Liu Jun
帮主	Gang Leader
毛海涛	Mao Haitao
暗毒领域	Dark Poison Territory
谷玉树	Gu Yushu
筑秘丹	Secret Construct Pill
四象功	Four Divisions Technique
贾西	Jia Xi
程亮	Cheng Liang
程启	Cheng Qi
黄怡山	Huang Yishan
单浩	Dan Hao
彭姆	Peng Mu
姬旷	Ji Kuang
计玉堂	Ji Yutang
长青仙王	Everlasting Youth Celestial King
万古仙王	Eternity Celestial King
罗先生	Mr Luo
踏云	Treading Clouds
子罗	Zi Luo
纳东	Na Dong
药山	Herb Mountain
胡言	Hu Yan
齐娅	Qi Ya
荒盟	Huang Alliance
阿焚山	Burning Mountain
不灭阿焚火	Inextinguishable Burning Flam
不灭阿梵火	Inextinguishable Burning Flame
天地霸气拳	Heaven and Earth Domineering Fists
一气混元丹	Time Immemorial Pill
太宙仙体	Greatest Eternity Immortal Physique
太宙无极体	Greatest Eternity Everlasting Physique
八炼	Eighth Refinement
千秋一梦丹	Thousand Year Dream Pill
岁月长河	Timestream
九五天尊	Jiuwu Heavenly Venerate
凌火	Ling Huo
道火	Dao Flames
通天关	Clear Heaven Pass
邓利	Deng Li
厉鸿飞	Li Hongfei
聂大人	Lord Nie
帝星	Monarch Star
丁部	Unit D
聂和山	Nie Heshan
沈超	Shen Chao
陆震	Lu Zhen
梅华	Mei Hua
异族	Foreign Race
星辰月	Xing Chenyue
常家七王	Seven Kings of Chang Clan
孟非诚	Meng Feicheng
纳古仙王	Encompassing Age Celestial King
涂瑾	Tu Jin
异兽	Foreign Beast
涂景天	Tu Jingtian
常家九虎	Nine Tigers of Chang Clan
起源魔方	Origin Magic Cube
中立区域	neutral zone
卡扎隆	Gaddalon
亚姆	Yamu
十秘	tenth secret
八秘	eighth secret
十层	tenth layer
森落	Sen Luo
奈幽	Nai You
蜈心	Wu Xin
赤血	Chi Xue
十一秘	eleventh secret
九秘	ninth secret
十五莲	Fifteenth Lotus
十六莲	Sixteenth Lotus
十四莲	Fourteenth Lotus
丁部十七营	17th camp of Unit D
千古一梦丹	Thousand Year Dream Pills
六秘	sixth secret
位面	dimension
黑暗规则	Regulation of Darkness
土塔	Tu Ta
墓冷	Mu Leng
超低等位面	super low-level dimension
辛图	Xin Tu
毒系规则	Regulation of Poison
十一层	eleventh layer
赤炎	Chi Yan
赤炎天尊	Heavenly Venerate Chi Yan
柳三变	Liu Sanbian
长剑仙王	Forever Sword Celestial King
超下等位面	super low-level dimension
五重天仙王	Fifth Heaven Celestial King
十一莲	Eleventh Lotus
十二莲	Twelfth Lotus
本源魔方	Origin Magic Cube
库哈德	Kuhaad
次元宇宙	Dimensional Universe
土罕位面	Rare Earth Dimension
妖星	Demonic Star
艾里纳	Ailean
轮回之门	Reincarnation Gates
战功	military merit
天地元罡	Heaven and Earth Origin Stars
云虚	Cloud Void
千语	Thousand Words
通玄	Tong Xuan
重金	Heavy Metal
五莲	Fifth Lotus
龙图	Long Tu
云河	Yunhe
塔拉	Darla
烽火城	Fire Beacon City
恶魔族	Demon Race
天使族	Angel Race
虫族	Insect Race
圣兽	Holy Beast
安俊	An Jun
仇山	Enmity Mountain
百果树	Hundred Fruits Tree
帝非	Di Fei
帝庞	Di Pang
祖王	Ancestral King
位面战争	Realm War
玄逆位面	Dark Inverse Realm
位面	realm
元世界	Genesis World
低等位面	low-level dimension
